PBR,PER,ROE,매출액,배당수익율,부채비율,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
,,,,,,,,코스피,,삼성생명,"""032830""",,"66,300"
,,,,,,,,코스피,,삼영,"""003720""",,"5,380"
,,,,,,,,코스피,,샘표,"""007540""",,"56,800"
,,,,,,,,코스피,,서흥,"""008490""",,"28,900"
,,,,,,,,코스피,,세원이앤씨,"""091090""",,254
,,,,,,,,코스피,,세아베스틸지주,"""001430""",,"24,500"
,,,,,,,,코스피,,신영와코루,"""005800""",,"11,170"
,,,,,,,,코스피,,신라교역,"""004970""",,"10,520"
,,,,,,,,코스피,,신영증권,"""001720""",,"55,900"
,,,,,,,,코스피,,신원,"""009270""",,"1,476"
,,,,,,,,코스피,,신풍제약,"""019170""",,"18,450"
,,,,,,,,코스피,,아모레G,"""002790""",,"33,250"
,,,,,,,,코스피,,아세아시멘트,"""183190""",,"10,590"
,,,,,,,,코스피,,아시아나IDT,"""267850""",,"14,200"
,,,,,,,,코스피,,에스엘,"""005850""",,"30,450"
,,,,,,,,코스피,,에어부산,"""298690""",,"3,745"
,,,,,,,,코스피,,엘브이엠씨홀딩스,"""900140""",,"1,856"
,,,,,,,,코스피,,웰바이오텍,"""010600""",,"1,417"
,,,,,,,,코스피,,유니온,"""000910""",,"9,840"
,,,,,,,,코스피,,유한양행,"""000100""",,"58,500"
,,,,,,,,코스피,,이월드,"""084680""",,"1,514"
,,,,,,,,코스피,,이화산업,"""000760""",,"28,450"
,,,,,,,,코스피,,인바이오젠,"""101140""",,467
,,,,,,,,코스피,,인천도시가스,"""034590""",,"25,900"
,,,,,,,,코스피,,인팩,"""023810""",,"9,850"
,,,,,,,,코스피,,일진전기,"""103590""",,"7,390"
,,,,,,,,코스피,,일진하이솔루스,"""271940""",,"30,400"
,,,,,,,,코스피,,제일연마,"""001560""",,"10,920"
,,,,,,,,코스피,,조광피혁,"""004700""",,"47,850"
,,,,,,,,코스피,,조선내화,"""000480""",,"9,830"
,,,,,,,,코스피,,조선선재,"""120030""",,"98,100"
,,,,,,,,코스피,,진양폴리,"""010640""",,"5,690"
,,,,,,,,코스피,,카카오,"""035720""",,"57,300"
,,,,,,,,코스피,,카카오페이,"""377300""",,"57,400"
,,,,,,,,코스피,,컨버즈,"""109070""",,"4,100"
,,,,,,,,코스피,,케이비아이동국실업,"""001620""",,878
,,,,,,,,코스피,,케이씨텍,"""281820""",,"18,720"
,,,,,,,,코스피,,KT,"""030200""",,"30,500"
,,,,,,,,코스피,,코리안리,"""003690""",,"7,710"
,,,,,,,,코스피,,코오롱모빌리티그룹,"""450140""",,"4,100"
,,,,,,,,코스피,,코오롱플라스틱,"""138490""",,"10,260"
,,,,,,,,코스피,,코웨이,"""021240""",,"49,000"
,,,,,,,,코스피,,쿠쿠홀딩스,"""192400""",,"15,520"
,,,,,,,,코스피,,쿠쿠홈시스,"""284740""",,"24,950"
,,,,,,,,코스피,,크라운제과,"""264900""",,"8,350"
,,,,,,,,코스피,,크라운해태홀딩스,"""005740""",,"6,260"
,,,,,,,,코스피,,태림포장,"""011280""",,"2,720"
,,,,,,,,코스피,,태원물산,"""001420""",,"5,560"
,,,,,,,,코스피,,티에이치엔,"""019180""",,"4,110"
,,,,,,,,코스피,,퍼스텍,"""010820""",,"4,270"
,,,,,,,,코스피,,퍼시스,"""016800""",,"29,100"
,,,,,,,,코스피,,한국ANKOR유전,"""152550""",,801
,,,,,,,,코스피,,한국공항,"""005430""",,"40,000"
,,,,,,,,코스피,,한국콜마홀딩스,"""024720""",,"14,690"
,,,,,,,,코스피,,한국토지신탁,"""034830""",,"1,337"
,,,,,,,,코스피,,한국항공우주,"""047810""",,"53,200"
,,,,,,,,코스피,,한독,"""002390""",,"15,200"
,,,,,,,,코스피,,한솔제지,"""213500""",,"11,210"
,,,,,,,,코스피,,한솔케미칼,"""014680""",,"221,500"
,,,,,,,,코스피,,한일현대시멘트,"""006390""",,"17,280"
,,,,,,,,코스피,,한전기술,"""052690""",,"66,700"
,,,,,,,,코스피,,한진,"""002320""",,"19,960"
,,,,,,,,코스피,,한화시스템,"""272210""",,"14,160"
,,,,,,,,코스피,,해성디에스,"""195870""",,"46,350"
,,,,,,,,코스피,,현대리바트,"""079430""",,"7,850"
,,,,,,,,코스피,,현대엘리베이,"""017800""",,"36,000"
,,,,,,,,코스피,,현대백화점,"""069960""",,"51,100"
,,,,,,,,코스피,,형지엘리트,"""093240""",,"1,321"
,,,,,,,,코스피,,현대퓨처넷,"""126560""",,"3,160"
,,,,,,,,코스피,,휠라홀딩스,"""081660""",,"36,050"
,,,,,,,,코스피,,혜인,"""003010""",,"6,370"
,,,,,,,,코스닥,,3S,"""060310""",,"2,180"
,,,,,,,,코스닥,,CJ프레시웨이,"""051500""",,"28,550"
,,,,,,,,코스닥,,DB금융스팩9호,"""367360""",,"2,125"
,,,,,,,,코스닥,,DXVX,"""180400""",,"7,080"
,,,,,,,,코스닥,,GRT,"""900290""",,"3,515"
,,,,,,,,코스닥,,HB솔루션,"""297890""",,"14,120"
,,,,,,,,코스닥,,HLB제약,"""047920""",,"15,240"
,,,,,,,,코스닥,,HLB테라퓨틱스,"""115450""",,"4,950"
,,,,,,,,코스닥,,IBKS제20호스팩,"""439730""",,"2,180"
,,,,,,,,코스닥,,KCC건설,"""021320""",,"5,630"
,,,,,,,,코스닥,,KG이니시스,"""035600""",,"11,840"
,,,,,,,,코스닥,,KH 건설,"""226360""",,319
,,,,,,,,코스닥,,KH 전자,"""111870""",,198
,,,,,,,,코스닥,,LB인베스트먼트,"""309960""",,"5,910"
,,,,,,,,코스닥,,SAMG엔터,"""419530""",,"26,250"
,,,,,,,,코스닥,,SBS콘텐츠허브,"""046140""",,"7,400"
,,,,,,,,코스닥,,에스케이증권제8호스팩,"""435870""",,"2,225"
,,,,,,,,코스닥,,SV인베스트먼트,"""289080""",,"2,165"
,,,,,,,,코스닥,,TPC,"""048770""",,"3,545"
,,,,,,,,코스닥,,YTN,"""040300""",,"6,140"
,,,,,,,,코스닥,,YW,"""051390""",,"3,405"
,,,,,,,,코스닥,,가온그룹,"""078890""",,"7,190"
,,,,,,,,코스닥,,가온칩스,"""399720""",,"26,300"
,,,,,,,,코스닥,,강원에너지,"""114190""",,"23,250"
,,,,,,,,코스닥,,공구우먼,"""366030""",,"8,440"
,,,,,,,,코스닥,,교보11호스팩,"""397880""",,"2,210"
,,,,,,,,코스닥,,교보12호스팩,"""421800""",,"2,070"
,,,,,,,,코스닥,,국일제지,"""078130""",,800
,,,,,,,,코스닥,,꿈비,"""407400""",,"19,400"
,,,,,,,,코스닥,,나노캠텍,"""091970""",,981
,,,,,,,,코스닥,,나무기술,"""242040""",,"2,145"
,,,,,,,,코스닥,,나이스디앤비,"""130580""",,"6,830"
,,,,,,,,코스닥,,나이스정보통신,"""036800""",,"24,550"
,,,,,,,,코스닥,,네오오토,"""212560""",,"6,340"
,,,,,,,,코스닥,,노바텍,"""285490""",,"30,750"
,,,,,,,,코스닥,,뉴보텍,"""060260""",,911
,,,,,,,,코스닥,,대신정보통신,"""020180""",,"1,090"
,,,,,,,,코스닥,,대원미디어,"""048910""",,"15,610"
,,,,,,,,코스닥,,대한뉴팜,"""054670""",,"8,810"
,,,,,,,,코스닥,,대화제약,"""067080""",,"9,840"
,,,,,,,,코스닥,,덕우전자,"""263600""",,"12,040"
,,,,,,,,코스닥,,동신건설,"""025950""",,"12,230"
,,,,,,,,코스닥,,동아화성,"""041930""",,"9,300"
,,,,,,,,코스닥,,동우팜투테이블,"""088910""",,"3,000"
,,,,,,,,코스닥,,디모아,"""016670""",,418
,,,,,,,,코스닥,,디오,"""039840""",,"31,600"
